Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%),Global Hit Rate in unified l1/tex(%),L2 Transactions (Texture Reads),Local Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Device Memory Write Transactions,Device Memory Read Transactions,Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",20,1982,8,0,0,47.368,0,0,0,0,0,0,0,0,0,0,0,0,144000000,19,0,306000000,0,7,58,0,0,0,1148,0,0
"void kernelPointwiseApply3<TensorEQOp<long, unsigned char>, unsigned char, long, long, unsigned int, int=1, int=1, int=1>(OffsetInfo<unsigned char, long, long>, OffsetInfo<TensorEQOp<long, unsigned char>, long, unsigned int>, OffsetInfo<unsigned char, long, int=1>, long, long)",10,2274,10,0,0,97.656,0,504,0,0,0,0,0,100,0,500,0,7035000000,439000000,32,7035000000,449000000,15.016,312,563,0,0,0,27096,0,0
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000173f_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIlhE5applyERNS_6TensorERKS6_EUlRlRKhE_lhjLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",10,2310,8,0,0,100,0,126,0,0,0,0,0,24.802,74.603,32,0,432000000,3462000000,250,1745000000,3462000000,25,42,86,0,0,0,23096,0,0
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",20,2863,8,0,0,99.999,0,0,0,0,0,0,0,0,0,0,0,0,261616000000,23414,0,261617000000,50,14003,58,0,0,0,2623707,0,0
"void kernelTransformReduceInnermostDimIndex<float, long, MaxValuePair<float, long>>(float*, long*, float*, unsigned int, unsigned int, thrust::pair<float, long>, float)",10,3348,18,6528,0,37.5,0,1000,0,0,0,458726000000,307652000000,50,40,750,0,3583000000,3583000000,1000,7166000000,9556000000,46.154,1606,474,29.172,36000,0,432064,8048,12000
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__copy_if::CopyIfAgent<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, NonZeroOp<unsigned char>, int, int*>, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<unsigned char>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_def",20,6221,72,0,4112,76.095,0,3176,0,0,0,81492000000,51372000000,30.381,63.737,1297,0,4975000000,1385000000,354,16394000000,1820000000,59.555,618,1044,62.693,0,0,458236,2497,3961
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",10,7195,38,0,0,50,0,504,0,0,0,0,0,61.425,34.88,814,0,2223000000,1111000000,500,3619000000,2223000000,24.914,608,753,0,0,0,63048,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_",10,7667,8,0,0,100,0,78868,0,0,0,0,0,76.311,49.995,78868,0,251181000000,164577000000,39434,329156000000,164577000000,49.997,33550,39488,0,315472,0,6310304,0,0
"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIlZNS0_15sum_kernel_implIllEEvRNS_14TensorIteratorEEUlllE_EEEEvT0_",10,7835,32,0,0,25,0,296,0,0,0,0,0,100,0,282,50,1020000000,0,33,1020000000,3000000,16.887,196,437,0,0,0,39370,0,0
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",10,8086,40,0,0,100,0,1128,0,0,0,0,0,82.01,50.032,781,0,2534000000,1483000000,375,3090000000,1483000000,50.022,1640,906,0,0,0,249144,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__transform::unary_transform_f<thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::permutation_iterator<thrust::device_ptr<long>, thrust::transform_iterator<strided_range<thrust::device_ptr<long>>::stride_functor, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::cuda_cub::__transform::no_stencil_tag, idx_functor, thrust::cuda_cub::__transform::always_true_predicate>, long>, thrust::cuda_cub::__transform::unary_transform_f<thru",20,8410,32,0,0,99.985,0,4932,0,0,0,0,0,99.985,0,4930,0,18753000000,18753000000,4930,18756000000,18756000000,0,2998,5249,0,39434,0,7425903,0,0
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE0_EEviT1_",20,10723,15,0,0,99.999,0,46828,0,374623,0,0,0,93.748,60.415,34197,0,100323000000,69869000000,23414,102048000000,69869000000,56.666,19835,23616,0,187311,0,9178728,0,0
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_17gpu_binary_kernelIZNS0_15mul_kernel_implIfEEvRNS_14TensorIteratorEEUlffE_EEvS5_RKT_EUliE0_EEviT1_",60,12778,15,0,0,99.999,0,117010,0,468039,0,0,0,87.638,56.666,75440,0,162406000000,146503000000,58505,188913000000,146503000000,54.062,53747,64867,0,468039,0,22934322,0,0
"sgemm_32x32x32_NN",10,21850,153,16912,0,30,0,54244,0,51413376,0,1850527000000,1214408000000,24.305,77.577,39795,0,63171000000,10827000000,24646,259913000000,36092000000,68.117,20264,39730,130.189,30563712,0,11530496,207312,315904
"void THCudaTensor_scatterAddKernel<unsigned int, float, int=2>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, TensorInfo<long, unsigned int>, int, unsigned int)",20,32704,32,0,0,0,0,386061,0,0,0,0,0,91.591,54.167,172711,0,153252000000,0,0,168992000000,0,75.763,48461,188683,0,2058992,0,107393229,0,0
"void indexSelectLargeIndex<float, unsigned int, int=2, int=2, int=-2, bool=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, TensorInfo<long, unsigned int>, int, int, unsigned int, unsigned int, long)",20,36257,32,0,0,100,0,257374,0,0,0,0,0,66.143,62.372,131056,0,85075000000,113575000000,128687,115666000000,113575000000,57.5,122315,67541,0,3088488,0,111586622,0,0
"sgemm_32x32x32_NN_vec",10,129623,153,16912,0,100,0,1878952,0,657949056,0,1501244000000,789615000000,85.427,22.426,1678625,0,456536000000,9734000000,39434,534420000000,9734000000,23.441,72339,1246589,157.926,333831552,0,30010880,799632,1520288
