Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%)
"void kernelPointwiseApply1<TensorFillOp<float>, float, unsigned int, int=1>(OffsetInfo<TensorFillOp<float>, float, unsigned int>, float, float)",10,1672,8,0,0,12.5,0,0,0,0,0,0,0,0,2000000,0,1,18000000,0,0,0,0,2058,0,0,0,0,0,0
"void kernelPointwiseApply1<TensorFillOp<long>, long, unsigned int, int=1>(OffsetInfo<TensorFillOp<long>, long, unsigned int>, long, long)",20,1685,10,0,0,25,0,0,0,0,0,0,0,0,4000000,0,1,18000000,0,0,0,0,2058,0,0,0,0,0,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__tabulate::functor<thrust::device_ptr<long>, LinspaceOp<long, long>, long>, long>, thrust::cuda_cub::__tabulate::functor<thrust::device_ptr<long>, LinspaceOp<long, long>, long>, long>(thrust::device_ptr<long>, long)",10,1699,19,0,0,93.182,0,0,0,0,0,0,0,0,192000000,0,11,206000000,0,0,0,0,4281,0,0,0,0,0,0
"void scal_kernel<float, float, int=1, bool=1, int=6, int=5, int=5, int=3>(cublasTransposeParams<float>, float const *, float*, float const *)",10,1882,18,0,0,85.417,0,0,0,0,0,0,0,0,2787000000,0,192,3264000000,45.455,0,0,0,19968,0,0,0,0,0,0
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS6_RKT_EUlfE0_EEvS6_SC_EUliE_EEviT1_",40,2049,8,0,0,96.354,0,323,0,5172,48.864,0,323,5047000000,5047000000,5051000000,323,5051000000,48.864,0,2586,0,36923,0,0,0,0,0,96.354
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15mul_kernel_implIfEEvRNS_14TensorIteratorEEUlffE_EEvS6_RKT_EUlfE0_EEvS6_SA_EUliE_EEviT1_",80,2052,8,0,0,96.354,0,323,0,2586,48.864,0,323,5038000000,5038000000,5042000000,323,5042000000,48.864,0,2586,0,36923,0,0,0,0,0,96.354
"void kernelPointwiseApply3<TensorAddCMulOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddCMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",40,2080,12,0,0,96.354,0,970,0,7758,48.864,0,970,14918000000,4972000000,14928000000,323,4975000000,48.864,0,5172,0,68673,0,0,0,0,0,96.354
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_",120,2085,8,0,0,96.354,0,647,0,5172,48.864,0,647,9922000000,4961000000,9929000000,323,4964000000,48.864,0,2586,0,52440,0,0,0,0,0,96.354
"void kernelPointwiseApply2<Tensor_sqrt_Float_Op, float, float, unsigned int, int=1, int=1>(OffsetInfo<float, unsigned int, int=1>, OffsetInfo<float, unsigned int, int=1>, unsigned int, Tensor_sqrt_Float_Op)",40,2097,10,0,0,96.354,0,323,0,18103,48.864,0,323,4930000000,4930000000,4934000000,323,4934000000,48.864,0,15517,0,58328,0,0,0,0,0,96.354
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_unary_kernelIZNS0_17div_constant_implIdEEvRNS_14TensorIteratorET_EUldE_EEvS5_RKS6_EUliE0_EEviT1_",20,2264,12,0,0,25,0,2,1,0,0,0,1,3000000,3000000,13000000,1,13000000,0,0,0,1,646,0,0,0,0,0,25
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15mul_kernel_implIlEEvRNS_14TensorIteratorEEUlllE_EEvS6_RKT_EUllE0_EEvS6_SA_EUliE_EEviT1_",10,2281,14,0,0,100,0,2912,0,0,0,0,2912,40851000000,40851000000,40851000000,2912,40851000000,0,0,0,0,338048,0,0,0,0,0,100
"void kernelReduceAllPass2<long, ReduceMax<long>>(int, long, long, long*, long*)",10,2329,17,0,96,25,0,4,0,0,0,0,3,40000000,3000000,40000000,1,13000000,0,11.058,0,0,163,2,11,0,604000000,109000000,100
"void kernelReduceAllPass2<long, ReduceMin<long>>(int, long, long, long*, long*)",10,2376,17,0,96,25,0,4,0,0,0,0,3,39000000,2000000,39000000,1,12000000,0,11.058,0,0,163,2,11,0,592000000,107000000,100
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIdhE5applyERNS_6TensorERKS6_EUlRdRKhE_dhjLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",20,2421,11,0,0,99.997,0,3640,0,0,74.994,0,910,12023000000,96194000000,48102000000,7280,96199000000,24.999,0,0,0,641929,0,0,0,0,0,24.998
"void kernelPointwiseApply3<TensorAddCDivOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddCDivOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)",40,2428,14,0,0,96.354,0,970,0,43966,48.864,0,970,12780000000,4259000000,12789000000,323,4262000000,48.864,0,28448,0,68673,0,0,0,0,0,96.354
"void kernelPointwiseApply2<TensorRemainderOp<long>, long, long, unsigned int, int=1, int=1>(OffsetInfo<TensorRemainderOp<long>, long, unsigned int>, OffsetInfo<long, long, int=1>, long, long)",10,2430,23,0,0,100,0,2912,0,0,0,0,2912,38340000000,38340000000,38340000000,2912,38340000000,0,0,11648,0,606208,0,0,0,0,0,100
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__unique_by_key::InitAgent<thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*, int>, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long, int*>(bool=1, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, int*)",60,2647,8,0,0,49.998,0,0,0,0,0,0,0,0,110740000000,0,18327,221490000000,0,0,0,0,806592,0,0,0,0,0,0
"void kernelPointwiseApply3<TensorEQOp<long, unsigned char>, unsigned char, long, long, unsigned int, int=1, int=1, int=1>(OffsetInfo<unsigned char, long, long>, OffsetInfo<TensorEQOp<long, unsigned char>, long, unsigned int>, OffsetInfo<unsigned char, long, int=1>, long, long)",20,3436,10,0,0,99.967,0,14562,0,0,0,0,14561,135589000000,8473000000,135596000000,910,8478000000,14.999,0,0,0,787531,0,0,0,0,0,99.997
"void kernelReduceAllPass1<long, unsigned int, long, thrust::identity<long>, ReduceMax<long>, int=1>(TensorInfo<long, unsigned int>, unsigned int, long, long, thrust::identity<long>, long*)",10,3918,18,0,8192,25,0,2928,0,0,37.407,0,3191,23779000000,24000000,26058000000,12,97000000,37.319,81.722,24576,0,843392,792,1116,0,36454000000,25870000000,91.257
"void kernelReduceAllPass1<long, unsigned int, long, thrust::identity<long>, ReduceMin<long>, int=1>(TensorInfo<long, unsigned int>, unsigned int, long, long, thrust::identity<long>, long*)",10,4066,18,0,8192,25,0,2928,0,0,37.407,0,3191,22912000000,23000000,25107000000,12,93000000,37.319,81.722,24576,0,843392,792,1116,0,35125000000,24927000000,91.257
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",40,6753,38,0,0,49.998,0,14562,0,0,0,0,21841,68985000000,34492000000,103484000000,14561,68989000000,0,0,0,0,1835039,0,0,0,0,0,66.665
"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIdZNS0_15sum_kernel_implIddEEvRNS_14TensorIteratorEEUlddE_EEEEvT0_",20,12720,32,0,4096,25,0,9204,29824,0,0,50,9202,18312000000,0,18317000000,1921,1000000,26.031,100,512,29824,249083,62,30,0,301000000,623000000,99.984
"void kernelPointwiseApply2<WrapIndexOp, long, long, unsigned int, int=1, int=1>(OffsetInfo<long, unsigned int, int=1>, OffsetInfo<long, unsigned int, int=1>, unsigned int, WrapIndexOp)",10,19162,32,0,0,100,0,119392,0,0,0,0,119392,199372000000,199372000000,199372000000,119392,199372000000,0,0,0,0,15282688,0,0,0,0,0,100
"void kernelPointwiseApply2<TensorPutAccumulateOp<float, int, int=-2>, float, long, unsigned int, int=1, int=1>(OffsetInfo<int, TensorPutAccumulateOp<float, int, int=-2>, float>, OffsetInfo<int=-2, TensorPutAccumulateOp<float, int, int=-2>, long>, TensorPutAccumulateOp<float, int, int=-2>, float)",10,27099,32,0,0,100,0,477568,0,477568,39.286,0,507414,563927000000,70490000000,599171000000,59696,70490000000,40.625,0,477568,0,21968632,0,0,0,0,0,94.118
"void kernelTransformReduceInnermostDimIndex<float, long, MaxValuePair<float, long>>(float*, long*, float*, unsigned int, unsigned int, thrust::pair<float, long>, float)",20,31132,18,6528,0,37.5,0,174723,0,0,39.806,0,225683,153401000000,11224000000,231972000000,29121,29932000000,41.176,29.064,3261496,0,17883294,232998,349451,0,1436759000000,957965000000,66.129
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<float>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>, bool, thrust::device_ptr<long>, thrust::device_ptr<float>, long, long*, float*, ThrustLTOp<long>, long*, long>(thrust::device_ptr<long>, float, thrust::device_ptr<float>, long, long, ThrustLTOp<long>, bool, bool=1, thrust::detail::integral_constant<bool, bool=1>)",80,33749,70,0,16912,100,0,209040,0,0,27.951,0,182832,170692000000,169805000000,173355000000,179088,169805000000,26.52,34.952,0,0,20275844,119810,405108,0,1536445000000,454400000000,98.464
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",40,37332,40,0,0,100,0,447729,0,0,57.6,0,192924,141964000000,127923000000,165365000000,149243,127923000000,54.589,0,0,0,99097489,0,0,0,0,0,85.849
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIlEEvRNS_14TensorIteratorEN3c106ScalarEEUlllE_EEvS5_RKT_EUliE0_EEviT1_",10,61474,20,0,0,100,0,238784,0,0,43.717,0,156520,65558000000,62148000000,81474000000,119392,62148000000,30.586,0,0,0,31519744,0,0,0,0,0,80.465
"_ZN2at4cuda77_GLOBAL__N__53_tmpxft_0000d1c6_00000000_9_Dropout_compute_70_cpp1_ii_275f3a0521kernelPointwiseApply3IZNS_6native77_GLOBAL__N__53_tmpxft_0000d1c6_00000000_9_Dropout_compute_70_cpp1_ii_275f3a0519masked_scale_kernelIffEEvRNS_6TensorES6_S6_T0_EUlRfRKfhE_ffhjLi1ELi1ELi1ELi1EEEvNS0_6detail10TensorInfoIS8_T3_EENSE_IT1_SF_EENSE_IT2_SF_EESF_T_",10,80220,11,0,0,100,0,931860,0,7454880,58.333,0,582413,232323000000,185858000000,232323000000,465930,185858000000,55,0,7454880,0,104370048,0,0,0,0,0,100
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_",30,81850,8,0,0,100,0,929389,0,0,47.496,0,930237,284393000000,182157000000,363680000000,465930,182157000000,48.36,0,3727440,0,74549664,0,0,0,0,0,78.199
"void at::native::_GLOBAL__N__53_tmpxft_0000d1c6_00000000_9_Dropout_compute_70_cpp1_ii_275f3a05::fused_dropout_kernel<float, float, unsigned int, int=1>(at::cuda::detail::TensorInfo<float, unsigned int>, unsigned int, at::cuda::detail<unsigned char, float>, float, float, std::pair<unsigned long, unsigned long>)",10,86736,32,0,0,100,0,465930,0,11898960,50,0,465930,171896000000,214870000000,171896000000,582413,214870000000,55,0,11694240,0,271279440,0,0,0,0,0,100
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::PartitionAgent<thrust::device_ptr<long>, long, ThrustLTOp<long>>, bool, thrust::device_ptr<long>, long*, long, unsigned long, long*, ThrustLTOp<long>, long, int>(thrust::device_ptr<long>, long, long, ThrustLTOp<long>, thrust::cuda_cub::__merge_sort::PartitionAgent<thrust::device_ptr<long>, long, ThrustLTOp<long>>, bool, thrust::device_ptr<long>, long*, long)",920,88086,23,0,0,99.947,0,84365,0,0,1.186,0,286500,26502000000,950000000,104079000000,2619,950000000,1.175,0,0,0,3649338,0,0,0,0,0,25.621
"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIfZNS0_15sum_kernel_implIffEEvRNS_14TensorIteratorEEUlffE_EEEEvT0_",20,96496,27,0,2048,92.708,0,938692,0,7339870,48.309,0,1039248,277034000000,1077000000,344633000000,3648,1209000000,48.347,98.464,8040286,0,123155031,43774,42384,0,56220000000,58065000000,87.33
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::BlockSortAgent<thrust::device_ptr<long>, thrust::device_ptr<float>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>, thrust::detail::integral_constant<bool, bool=0>>, bool, thrust::device_ptr<long>, thrust::device_ptr<float>, long, long*, float*, ThrustLTOp<long>>(thrust::device_ptr<long>, float, thrust::device_ptr<float>, long, long, ThrustLTOp<long>, bool)",10,133339,82,0,16912,100,0,186640,0,0,26.527,0,180968,43035000000,42978000000,43429000000,179088,42978000000,25.775,21.535,0,0,87011030,1318358,4325666,0,4152440000000,1265562000000,99.092
"void cunn_ClassNLLCriterion_updateGradInput_kernel<float>(float*, float*, long*, float*, float*, int, int, int, int, long)",10,170419,32,0,0,12.579,0,2916,0,35104,25.046,0,3277,281000000,272000000,614000000,11575,2172000000,6.866,0,23456,0,129024,0,0,0,0,0,45.823
"sgemm_32x32x32_NT",10,239148,153,16912,0,100,0,2096772,0,1083878784,85.69,0,1325379,239648000000,62344000000,1239159000000,465930,62344000000,82.425,136.923,599255424,0,146318976,2912400,4659840,0,2494096000000,1558809000000,19.34
"void convert_CooToCsr_kernel<int=0>(int const *, int, int, int*)",60,287822,12,0,512,13.917,0,2953931,0,0,48.684,0,3600101,328416000000,3237000000,400258000000,209253,23264000000,47.402,99.479,61440,0,429127273,738482,1476964,0,656833000000,328416000000,82.051
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<long>, thrust::cuda_cub::__transform::no_stencil_tag, thrust::identity<long>, thrust::cuda_cub::__transform::always_true_predicate>, long>, thrust::cuda_cub::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<long>, thrust::cuda_cub::__transform::no_stencil_tag, thrust::identity<long>, thrust::cuda_cub::__transform::always_true_predicate>, long>(thrust::use_default, thrust::use_default)",120,393019,10,0,0,100,0,0,0,0,0,0,0,0,477264000000,0,5861701,477264000000,0,0,0,0,199299641,0,0,0,0,0,0
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIffE5applyERNS_6TensorERKS6_EUlRfRKfE_ffjLi1ELi2ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",120,453233,11,0,0,100,0,829938,0,0,33.939,0,4444351,58596000000,58596000000,468773000000,829938,58596000000,37.151,0,6639502,0,332210203,0,0,0,0,0,12.5
"void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*)",10,466210,39,4228,0,28.362,0,3947420,0,955670528,57.618,0,2775545,147907000000,1286000000,448442000000,66120,4537000000,57.104,130.755,478302208,0,90665943,932360,11186496,0,3071298000000,255982000000,32.983
"void cunn_ClassNLLCriterion_updateOutput_kernel<float, float>(float*, float*, float*, long*, float*, int, int, int, int, long)",20,537737,32,256,0,12.5,0,7282,0,87440,0.186,0,36884,432000000,0,2194000000,5,0,0.186,98.704,58316,0,350250,1823,1853,0,440000000,433000000,19.891
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE0_EEviT1_",40,560674,15,0,0,100,0,1659876,0,13279005,54.831,0,1772718,88087000000,47367000000,101175000000,829938,47367000000,53.184,0,6639502,0,325336120,0,0,0,0,0,91.944
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIilE5applyERNS_6TensorERKS6_EUlRiRKlE_iljLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",120,660915,8,0,0,100,0,2930851,0,0,23.34,0,6056327,141904000000,141904000000,425714000000,2930851,141904000000,36.393,0,0,0,539277417,0,0,0,0,0,37.5
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15div_kernel_implIlEEvRNS_14TensorIteratorEEUlllE_EEvS6_RKT_EUllE0_EEvS6_SA_EUliE_EEviT1_",120,876876,23,0,0,100,0,5861702,0,0,0,0,5861701,213911000000,213911000000,213911000000,5861701,213911000000,0,0,23446803,0,2527759522,0,0,0,0,0,100
"sgemm_32x32x32_NN",40,1000993,153,16912,0,87.273,0,14051290,0,5204575296,82.386,0,12966401,444771000000,26531000000,2073262000000,1033782,33047000000,76.402,144.834,2688261696,0,334576512,7863480,13979520,0,1787601000000,1005525000000,21.917
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIlEEvRNS_14TensorIteratorEN3c106ScalarEEUlllE_EEvS5_RKT_EUliE_EEviT1_",120,1295451,18,0,0,94.444,0,11723404,0,0,14.583,0,12089758,289588000000,144794000000,298638000000,6228057,153843000000,17.5,0,0,0,867532185,0,0,0,0,0,97.059
"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIlZNS0_15sum_kernel_implIllEEvRNS_14TensorIteratorEEUlllE_EEEEvT0_",60,1534374,32,0,0,100,0,14654255,0,0,29.167,50,15386966,244495000000,122247000000,259776000000,8792552,122247000000,31.25,0,0,0,2368140612,0,0,0,0,0,94.118
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_17gpu_binary_kernelIZNS0_15mul_kernel_implIlEEvRNS_14TensorIteratorEEUlllE_EEvS5_RKT_EUliE0_EEviT1_",60,1750395,19,0,0,100,0,23446808,0,0,25,0,13188828,221019000000,214321000000,241112000000,11723402,214321000000,15,0,0,0,3001191386,0,0,0,0,0,91.667
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__unique_by_key::UniqueByKeyAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::equal_to<long>, int, int*>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::equal_to<long>, int*, int, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long>(thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, long, thrust::equal_to<long>, int, int*, thrust::cuda_cub::__unique_by_key::UniqueByKeyAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust",60,1771084,64,0,2576,99.074,0,15079098,0,0,11.884,0,14201406,229003000000,212480000000,265506000000,11869948,214466000000,6.866,97.854,0,0,860926858,6594478,6740994,0,487185000000,476596000000,86.252
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>, bool, thrust::device_ptr<long>, thrust::device_ptr<long>, long, long*, long*, ThrustLTOp<long>, long*, long>(thrust::device_ptr<long>, thrust::device_ptr<long>, long, long, ThrustLTOp<long>, bool, bool=1, thrust::detail::integral_constant<bool, bool=1>, thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>)",840,1787575,72,0,16912,100,0,13188876,0,0,25.789,0,12577630,210683000000,209864000000,225155000000,11723402,209864000000,16.223,43.023,0,0,1152422275,8792834,24102389,0,1725859000000,629613000000,93.719
"sgemm_32x32x32_TN",10,2562787,153,16912,0,100,0,26558124,0,9066522752,75.898,0,29703024,329432000000,14000000,1538803000000,1204,14000000,75.897,166.645,4533410944,0,283605248,8858864,17714688,0,884770000000,442460000000,21.408
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::BlockSortAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>, thrust::detail::integral_constant<bool, bool=0>>, bool, thrust::device_ptr<long>, thrust::device_ptr<long>, long, long*, long*, ThrustLTOp<long>>(thrust::device_ptr<long>, thrust::device_ptr<long>, long, long, ThrustLTOp<long>, bool, bool=1)",60,6529457,104,0,16912,100,0,12456204,0,0,2.273,0,11815002,57566000000,57454000000,57903000000,11723402,57454000000,1.154,23.519,0,0,4182650323,102605940,218374518,0,4280896000000,2011431000000,99.419
"void csrMmt_hyb_core<float, int=4, int=4>(float, float, float const *, float const *, float const *, int const *, int const *, float const *, float*, int, int, int, int, int, int, bool)",30,7733644,32,3464,0,55.196,0,53124017,0,769168720,49.007,0,55064896,218415000000,1927000000,422244000000,844138,3492000000,48.75,72.463,394019872,0,3334726253,2808860,34084358,0,564131000000,46489000000,51.727
"void csrMmt_hyb_core<float, int=5, int=3>(float, float, float const *, float const *, float const *, int const *, int const *, float const *, float*, int, int, int, int, int, int, bool)",30,10955592,32,3496,0,36.363,0,100031594,0,1534360992,48.679,0,121618741,291158000000,2721000000,672299000000,2562636,7484000000,48.158,98.895,784063296,0,5931320890,2390818,49542154,0,578826000000,27932000000,43.308
"void at::native::apply::coalesceValuesKernel<float, float>(long*, at::native::apply::coalesceValuesKernel<float, float>, float*, float, long, long, long)",60,18754030,32,0,0,12.5,0,304808435,0,23446803,69.231,0,93787211,20003000000,5000000000,160028000000,23446803,40006000000,64.286,0,23446803,0,51770541152,0,0,0,0,0,12.5
"void csrMmt_hyb_core<float, int=3, int=5>(float, float, float const *, float const *, float const *, int const *, int const *, float const *, float*, int, int, int, int, int, int, bool)",30,19035973,32,3496,0,83.719,0,77750922,0,768237799,38.754,0,87407871,64148000000,440000000,221004000000,313053,525000000,38.797,58.628,393088951,0,4274879373,6884572,42220677,0,283895000000,46292000000,29.026
"void kernelTransformReduceInnermostDimIndex<long, long, MaxValuePair<long, long>>(long*, long*, long*, unsigned int, unsigned int, thrust::pair<long, long>, long)",60,392999609,16,8704,0,49.167,0,11723790,0,0,25,1.635,13188987,954000000,0,1073000000,388,0,25.001,68.636,0,0,468946048,80,30,0,0,0,88.888
"void kernelTransformReduceInnermostDimIndex<long, long, MinValuePair<long, long>>(long*, long*, long*, unsigned int, unsigned int, thrust::pair<long, long>, long)",60,393010346,16,8704,0,48.334,0,11723790,0,0,25,1.635,13189147,953000000,0,1073000000,388,0,25.001,68.636,0,0,468946048,80,30,0,0,0,88.888
